Área de Concentração:;Linha de Pesquisa:;Integrantes:
Computação Visual;Computação Gráfica e Visualização de Dados;Anderson Maciel
Computação Visual;Computação Gráfica e Visualização de Dados;Carla Maria Dal Sasso Freitas
Computação Visual;Computação Gráfica e Visualização de Dados;Eduardo Simões Lopes Gastal
Computação Visual;Computação Gráfica e Visualização de Dados;João Luiz Dihl Comba
Computação Visual;Computação Gráfica e Visualização de Dados;Luciana Nedel
Computação Visual;Computação Gráfica e Visualização de Dados;Manuel Menezes de Oliveira Neto
Computação Visual;Computação Gráfica e Visualização de Dados;Marcelo Walter
Computação Visual;Processamento de Imagens, Visão Computacional e Reconhecimento de Padrões;Cláudio Rosito Jung
Computação Visual;Processamento de Imagens, Visão Computacional e Reconhecimento de Padrões;Eduardo Simões Lopes Gastal
Computação Visual;Processamento de Imagens, Visão Computacional e Reconhecimento de Padrões;Jacob Scharcanski
Computação Visual;Processamento de Imagens, Visão Computacional e Reconhecimento de Padrões;Manuel Menezes de Oliveira Neto
Computação Visual;Interação Humano-Computador, Realidade Virtual e Aumentada;Anderson Maciel
Computação Visual;Interação Humano-Computador, Realidade Virtual e Aumentada;Carla Maria Dal Sasso Freitas
Computação Visual;Interação Humano-Computador, Realidade Virtual e Aumentada;Luciana Nedel
Computação Visual;Interação Humano-Computador, Realidade Virtual e Aumentada;Marcelo Soares Pimenta
Ciência de Dados e Engenharia de Software;Engenharia de Software;Daltro Jose Nunes
Ciência de Dados e Engenharia de Software;Engenharia de Software;Erika Fernandes Cota
Ciência de Dados e Engenharia de Software;Engenharia de Software;Ingrid Oliveira de Nunes
Ciência de Dados e Engenharia de Software;Engenharia de Software;Karin Becker
Ciência de Dados e Engenharia de Software;Engenharia de Software;Leila Ribeiro
Ciência de Dados e Engenharia de Software;Engenharia de Software;Lucineia Heloisa Thom
Ciência de Dados e Engenharia de Software;Engenharia de Software;Lucio Mauro Duarte
Ciência de Dados e Engenharia de Software;Engenharia de Software;Marcelo Soares Pimenta
Ciência de Dados e Engenharia de Software;Mineração, Integração e Análise de Dados;Ana Lucia Cetertich Bazzan
Ciência de Dados e Engenharia de Software;Mineração, Integração e Análise de Dados;Joao Luiz Dihl Comba
Ciência de Dados e Engenharia de Software;Mineração, Integração e Análise de Dados;Karin Becker
Ciência de Dados e Engenharia de Software;Mineração, Integração e Análise de Dados;Leandro Krug Wives
Ciência de Dados e Engenharia de Software;Mineração, Integração e Análise de Dados;Lucas Mello Schnorr
Ciência de Dados e Engenharia de Software;Mineração, Integração e Análise de Dados;Mara Abel
Ciência de Dados e Engenharia de Software;Mineração, Integração e Análise de Dados;Renata Galante
Ciência de Dados e Engenharia de Software;Mineração, Integração e Análise de Dados;Viviane Pereira Moreira
 Ciência de Dados e Engenharia de Software;Modelagem de Dados e Processos de Negócio;Jose Palazzo Moreira De Oliveira
 Ciência de Dados e Engenharia de Software;Modelagem de Dados e Processos de Negócio;Leandro Krug Wives
 Ciência de Dados e Engenharia de Software;Modelagem de Dados e Processos de Negócio;Lucineia Heloisa Thom
Ciência de Dados e Engenharia de Software;Modelagem Conceitual e Banco de dados;Carlos Alberto Heuser
Projeto de Sistemas Eletrônicos e Computacionais;Concepção de Circuitos e Sistemas Integrados;Renato Perez Ribas
Projeto de Sistemas Eletrônicos e Computacionais;Concepção de Circuitos e Sistemas Integrados;Ricardo Augusto Da Luz Reis
Projeto de Sistemas Eletrônicos e Computacionais;Concepção de Circuitos e Sistemas Integrados;Sergio Bampi
Projeto de Sistemas Eletrônicos e Computacionais;Ferramentas para Automação de Projeto Eletrônico;Andre Inacio Reis
Projeto de Sistemas Eletrônicos e Computacionais;Ferramentas para Automação de Projeto Eletrônico;Renato Perez Ribas
Projeto de Sistemas Eletrônicos e Computacionais;Ferramentas para Automação de Projeto Eletrônico;Ricardo Augusto Da Luz Reis
Projeto de Sistemas Eletrônicos e Computacionais;Confiabilidade e Tolerância a Falhas;Fernanda Gusmao De Lima Kastensmidt
Projeto de Sistemas Eletrônicos e Computacionais;Confiabilidade e Tolerância a Falhas;Gabriel Luca Nazar
Projeto de Sistemas Eletrônicos e Computacionais;Confiabilidade e Tolerância a Falhas;Paolo Rech
Projeto de Sistemas Eletrônicos e Computacionais;Confiabilidade e Tolerância a Falhas;Ricardo Augusto Da Luz Reis
Projeto de Sistemas Eletrônicos e Computacionais;Microeletrônica, Sistemas Digitais, Instrumentação, Processamento de Sinais; Altamiro Amadeu Susin
Sistemas de Computação;Computação de Alto Desempenho e Sistemas Distribuídos;Claudio Fernando Resin Geyer
Sistemas de Computação;Computação de Alto Desempenho e Sistemas Distribuídos;Lucas Mello Schnorr
Sistemas de Computação;Computação de Alto Desempenho e Sistemas Distribuídos;Nicolas Maillard
Sistemas de Computação;Computação de Alto Desempenho e Sistemas Distribuídos;Philippe Olivier Alexandre Navaux
Sistemas de Computação;Arquiteturas Não Convencionais;Antonio Carlos Schneider Beck Filho
Sistemas de Computação;Arquiteturas Não Convencionais;Gabriel Luca Nazar
Sistemas de Computação;Arquiteturas Não Convencionais;Luigi Carro
Sistemas de Computação;Arquiteturas Não Convencionais;Paolo Rech
Sistemas de Computação;Arquiteturas Não Convencionais;Philippe Olivier Alexandre Navaux
Sistemas de Computação;Sistemas Embarcados;Antonio Carlos Schneider Beck Filho
Sistemas de Computação;Sistemas Embarcados;Carlos Eduardo Pereira
Sistemas de Computação;Sistemas Embarcados;Edison Pignaton De Freitas
Sistemas de Computação;Sistemas Embarcados;Erika Fernandes Cota
Sistemas de Computação;Sistemas Embarcados;Flávio Rech Wagner
Sistemas de Computação;Sistemas Embarcados;Gabriel Luca Nazar
Sistemas de Computação;Sistemas Embarcados;Luigi Carro
Sistemas de Computação;Sistemas Embarcados;Paolo Rech
Teoria da Computação;Algoritmos e Otimização;Luciana Salete Buriol
Teoria da Computação;Algoritmos e Otimização;Marcio Dorn
Teoria da Computação;Algoritmos e Otimização;Marcus Rolf Peter Ritt
Teoria da Computação;Lógica e Modelos de Computação;Álvaro
Teoria da Computação;Lógica e Modelos de Computação;Daltro Jose Nunes
Teoria da Computação;Lógica e Modelos de Computação;Leila Ribeiro
Teoria da Computação;Lógica e Modelos de Computação;Luis Da Cunha Lamb
Teoria da Computação;Lógica e Modelos de Computação;Lucio Mauro Duarte
Teoria da Computação;Lógica e Semântica de Programas; Álvaro Freitas Moreira
Inteligência Artificial;Aprendizado de Máquina, Representação de Conhecimento e Raciocínio;Aline Villavicencio
Inteligência Artificial;Aprendizado de Máquina, Representação de Conhecimento e Raciocínio;Ana Lucia Cetertich Bazzan
Inteligência Artificial;Aprendizado de Máquina, Representação de Conhecimento e Raciocínio;Andre Grahl Pereira
Inteligência Artificial;Aprendizado de Máquina, Representação de Conhecimento e Raciocínio;Dante Augusto Couto Barone
Inteligência Artificial;Aprendizado de Máquina, Representação de Conhecimento e Raciocínio;Jacob Scharcanski
Inteligência Artificial;Aprendizado de Máquina, Representação de Conhecimento e Raciocínio;Luis Da Cunha Lamb
Inteligência Artificial;Aprendizado de Máquina, Representação de Conhecimento e Raciocínio;Mara Abel
Inteligência Artificial;Aprendizado de Máquina, Representação de Conhecimento e Raciocínio;Marcio Dorn
Inteligência Artificial;Aprendizado de Máquina, Representação de Conhecimento e Raciocínio;Rosa Maria Vicari
Inteligência Artificial;Planejamento, Sistemas Multiagentes e Robótica;Ana Lucia Cetertich Bazzan
Inteligência Artificial;Planejamento, Sistemas Multiagentes e Robótica;Andre Grahl Pereira
Inteligência Artificial;Planejamento, Sistemas Multiagentes e Robótica;Edison Pignaton de Freitas
Inteligência Artificial;Planejamento, Sistemas Multiagentes e Robótica;Edson Prestes e Silva Junior
Inteligência Artificial;Planejamento, Sistemas Multiagentes e Robótica;Ingrid Oliveira de Nunes
Inteligência Artificial;Planejamento, Sistemas Multiagentes e Robótica;Mariana Luderitz Kolberg
Inteligência Artificial;Redes Neurais;Paulo Martins Engel
Redes de Computadores;Arquiteturas, Protocolos e Gerência de Redes e Serviços;Alberto Egon Schaeffer Filho
Redes de Computadores;Arquiteturas, Protocolos e Gerência de Redes e Serviços;Antonio Marinho Pilla Barcellos
Redes de Computadores;Arquiteturas, Protocolos e Gerência de Redes e Serviços;Edison Pignaton De Freitas
Redes de Computadores;Arquiteturas, Protocolos e Gerência de Redes e Serviços;Juergen Rochol
Redes de Computadores;Arquiteturas, Protocolos e Gerência de Redes e Serviços;Juliano Araujo Wickboldt
Redes de Computadores;Arquiteturas, Protocolos e Gerência de Redes e Serviços;Lisandro Zambenedetti Granville
Redes de Computadores;Arquiteturas, Protocolos e Gerência de Redes e Serviços;Luciano Paschoal Gaspary
Redes de Computadores;Arquiteturas, Protocolos e Gerência de Redes e Serviços;Valter Roesler
Redes de Computadores;Arquiteturas, Protocolos e Gerência de Redes e Serviços;Weverton Luis Da Costa Cordeiro
Redes de Computadores;Segurança Cibernética;Alberto Egon Schaeffer Filho
Redes de Computadores;Segurança Cibernética;Antonio Marinho Pilla Barcellos
Redes de Computadores;Segurança Cibernética;Lisandro Zambenedetti Granville
Redes de Computadores;Segurança Cibernética;Luciano Paschoal Gaspary
Redes de Computadores;Segurança Cibernética;Weverton Luis Da Costa Cordeiro
